step,episode/success_rate,val/success_rate,critic/score/mean,actor/kl_loss,actor/entropy_loss,actor/pg_loss,actor/grad_norm,episode/valid_action_ratio,episode/length/mean,response_length/mean
0,,0.171875,,,,,,,,
1,0.0390625,,0.16093744337558746,0.06660791486501694,0.6177334189414978,0.013042171485722065,2.017505407333374,0.3997790515422821,49.1328125,141.06802368164062
2,0.234375,,1.1799030303955078,0.00843615923076868,0.5702371597290039,0.031018009409308434,1.338814616203308,0.9994612336158752,43.3984375,133.6427764892578
3,0.3203125,,1.4628710746765137,0.01223596092313528,0.563467264175415,0.009838998317718506,0.8812162280082703,0.999804675579071,39.7734375,135.18319702148438
4,0.171875,,0.7013888955116272,0.017243610695004463,0.5711736083030701,0.0018538965377956629,0.6237666606903076,1.0,44.5390625,137.80313110351562
5,0.3359375,,1.640625,0.01970677077770233,0.5644625425338745,-0.007267823442816734,1.2454646825790405,1.0,39.71875,138.0988311767578
6,0.40625,,1.3133831024169922,0.02260829694569111,0.5642932057380676,-0.024889517575502396,1.022226095199585,0.9997735619544983,34.1953125,138.80661010742188
7,0.3515625,,1.8981289863586426,0.03238081559538841,0.5768334865570068,0.059676527976989746,1.1218510866165161,0.9998071193695068,40.0078125,151.02392578125
8,0.3515625,,1.7147746086120605,0.02613118104636669,0.5723749399185181,0.02576771192252636,1.0296963453292847,0.9998022317886353,39.1015625,150.40525817871094
9,0.4921875,,2.7816901206970215,0.05191880092024803,0.5892777442932129,0.003116840962320566,1.3344378471374512,1.0,35.21875,140.9066925048828
10,0.5390625,0.3671875,2.824495315551758,0.04307593032717705,0.5606924891471863,0.009409641847014427,0.9380699396133423,0.9997596144676208,32.078125,142.60696411132812
11,0.4140625,,2.1458332538604736,0.03844072297215462,0.5665156245231628,0.02078944258391857,1.2231014966964722,1.0,37.2890625,141.08770751953125
12,0.46875,,2.052238702774048,0.05033519119024277,0.5559841990470886,0.030478984117507935,1.0599716901779175,1.0,33.4375,136.9181365966797
13,0.421875,,2.1621620655059814,0.06001485139131546,0.5852439999580383,0.008427613414824009,0.9168915748596191,1.0,36.890625,135.43496704101562
14,0.3125,,1.7409969568252563,0.05528302118182182,0.5986663699150085,0.0405789278447628,1.0412511825561523,0.9992559552192688,41.6171875,139.3755645751953
15,0.4296875,,2.091181516647339,0.056767404079437256,0.5633134245872498,-0.0004228789184708148,1.0454577207565308,1.0,36.03125,137.07855224609375
16,0.3671875,,1.8329126834869385,0.06396186351776123,0.5437922477722168,3.78659060515929e-05,0.8172177076339722,0.9997996687889099,38.7578125,127.77704620361328
17,0.546875,,3.016826868057251,0.062426116317510605,0.5640277862548828,0.020396241918206215,0.7608657479286194,1.0,32.4453125,135.11105346679688
18,0.3359375,,1.3862179517745972,0.08937758207321167,0.5519607067108154,0.008240682072937489,0.6000047326087952,1.0,38.578125,134.9226837158203
19,0.609375,,3.8134765625,0.06631474196910858,0.5336036086082458,0.011192950420081615,1.0435881614685059,1.0,31.6484375,133.306640625
20,0.484375,0.46875,2.076231002807617,0.07099448144435883,0.528746485710144,0.010789050720632076,0.8621888756752014,1.0,32.59375,138.171630859375
21,0.3984375,,2.0744242668151855,0.059042759239673615,0.5441415905952454,0.0188156608492136,0.9790366291999817,1.0,37.9453125,144.55303955078125
22,0.3828125,,1.417078971862793,0.08463074266910553,0.5619752407073975,-0.0005977631662972271,0.8579744696617126,0.9997829794883728,35.9609375,141.9928436279297
23,0.3125,,1.322265625,0.07890766113996506,0.5824389457702637,0.009808287024497986,0.9176205992698669,1.0,39.6328125,152.6160125732422
24,0.4609375,,2.372359037399292,0.09185338020324707,0.571659505367279,0.0512695349752903,0.970361590385437,1.0,35.359375,154.85035705566406
25,0.3984375,,2.0620477199554443,0.0827547162771225,0.5862714648246765,-0.014421527273952961,1.0260734558105469,0.9995887875556946,37.90625,146.0318603515625
26,0.5,,2.9535374641418457,0.08443429321050644,0.5644434094429016,-0.007805208209902048,1.1915745735168457,0.9997829794883728,35.5078125,145.95204162597656
27,0.40625,,1.9636614322662354,0.0860343798995018,0.5739678740501404,-0.0070384712889790535,0.9917925596237183,0.9997888803482056,36.9453125,150.2168426513672
28,0.484375,,2.4456522464752197,0.08447539806365967,0.5657128095626831,0.011438887566328049,0.735576868057251,1.0,34.0859375,151.59080505371094
29,0.3671875,,1.7694804668426514,0.11738509684801102,0.5774774551391602,-0.0013531584991142154,0.7994987964630127,1.0,38.4453125,149.36424255371094
30,0.4375,0.4765625,1.7957427501678467,0.07562378793954849,0.5818933844566345,-0.005734794307500124,0.6588185429573059,1.0,34.2890625,150.15512084960938
31,0.34375,,1.5123997926712036,0.09911075979471207,0.571498453617096,-0.01385297067463398,0.8306210041046143,0.9997996687889099,38.6640625,150.62120056152344
32,0.3671875,,1.8429287672042847,0.09349299967288971,0.6786580681800842,-0.04155036062002182,1.0092896223068237,0.9997996687889099,38.8046875,165.66265869140625
33,0.421875,,2.0184075832366943,0.09648669511079788,0.6363298296928406,0.015651656314730644,0.9372224807739258,1.0,36.1953125,165.89361572265625
34,0.5625,,2.5662076473236084,0.09266448020935059,0.636418879032135,0.010761342011392117,0.7644944787025452,1.0,29.4296875,154.97457885742188
35,0.484375,,2.618281364440918,0.10892098397016525,0.6315515637397766,0.029408032074570656,1.0054761171340942,0.9997767806053162,34.9296875,148.0712127685547
36,0.75,,5.332754611968994,0.10249742865562439,0.6037126183509827,0.03213857114315033,0.9577292799949646,1.0,26.7734375,142.8026580810547
37,0.46875,,2.1208410263061523,0.1023799329996109,0.6268050074577332,-0.013322305865585804,0.7720655798912048,0.9997702240943909,33.7109375,149.8508758544922
38,0.4375,,2.004819631576538,0.10056577622890472,0.6472872495651245,-0.004283692222088575,0.9555116891860962,0.9997799396514893,35.1640625,144.63644409179688
39,0.5390625,,2.3488729000091553,0.10291478037834167,0.5959871411323547,-0.008876301348209381,0.5432652235031128,1.0,30.09375,147.40701293945312
40,0.4765625,0.5390625,2.6779513359069824,0.10440979152917862,0.5508009195327759,-0.012719699181616306,1.2073109149932861,1.0,35.765625,139.54014587402344
41,0.6015625,,3.106142282485962,0.10194836556911469,0.5636470913887024,0.012109002098441124,0.7793392539024353,1.0,28.8984375,138.3133087158203
42,0.546875,,2.7901785373687744,0.12134584784507751,0.5787844061851501,0.02031954564154148,0.9748288989067078,1.0,31.390625,141.80035400390625
43,0.59375,,2.928340435028076,0.11120263487100601,0.567230224609375,-0.021010620519518852,1.0108954906463623,1.0,28.7421875,145.25270080566406
44,0.765625,,4.867527008056641,0.13849280774593353,0.5383813381195068,0.00960018951445818,1.0986186265945435,1.0,22.828125,141.3858642578125
45,0.5625,,3.0481150150299072,0.12516029179096222,0.5692041516304016,0.018195483833551407,0.8037963509559631,1.0,31.4765625,146.6763458251953
46,0.546875,,2.805034875869751,0.1385829746723175,0.6079190969467163,0.03391233831644058,0.8637080192565918,0.9997519850730896,31.484375,142.02256774902344
47,0.7109375,,4.469339847564697,0.11803927272558212,0.598361074924469,0.03418014198541641,1.0331017971038818,1.0,26.046875,133.10643005371094
48,0.6328125,,3.7764830589294434,0.10794442892074585,0.5614498853683472,0.007210401818156242,1.0685758590698242,1.0,29.5,125.5278091430664
49,0.515625,,2.8330652713775635,0.13843190670013428,0.569914698600769,-0.000814645376522094,0.8907308578491211,0.9988511204719543,33.78125,124.8226089477539
50,0.734375,0.6484375,4.8466644287109375,0.1235726997256279,0.5342041254043579,0.023383861407637596,1.1810121536254883,0.999098539352417,25.7734375,118.07211303710938
51,0.515625,,2.1345765590667725,0.1579689383506775,0.554374635219574,0.03704896569252014,0.7923776507377625,1.0,30.78125,125.7734375
52,0.5390625,,2.84372615814209,0.13675230741500854,0.5331354141235352,0.003100467612966895,1.136956810951233,0.9997596144676208,32.1875,128.71490478515625
53,0.7421875,,4.080255508422852,0.1349765956401825,0.5065173506736755,-0.019873052835464478,0.7467103600502014,1.0,21.6640625,127.20986938476562
54,0.5546875,,3.110576868057251,0.15060316026210785,0.6014015078544617,0.034130942076444626,0.9552565217018127,1.0,32.2578125,130.88414001464844
55,0.4609375,,2.452256917953491,0.14336705207824707,0.56281977891922,0.013096119277179241,0.9392787218093872,1.0,35.7421875,135.82421875
56,0.5,,2.633226156234741,0.13735543191432953,0.5688161849975586,0.004225312266498804,0.9966971278190613,0.9995404481887817,33.9296875,135.97242736816406
57,0.6953125,,4.233461380004883,0.15401795506477356,0.523914098739624,0.039627742022275925,1.0001274347305298,0.9997051954269409,26.3671875,131.64210510253906
58,0.6171875,,3.399784564971924,0.15321017801761627,0.5984078645706177,0.019108982756733894,1.0873358249664307,1.0,28.9921875,129.3354034423828
59,0.6171875,,3.711552381515503,0.15613143146038055,0.5709324479103088,-0.00033170514507219195,0.9823469519615173,0.9997438788414001,30.4453125,127.0
60,0.5625,0.5625,2.3922414779663086,0.14698830246925354,0.5679556131362915,0.027112456038594246,0.7187269330024719,1.0,28.7890625,126.13011932373047
61,0.59375,,3.4969990253448486,0.20316903293132782,0.5475865006446838,0.011970827355980873,1.0362638235092163,0.9997519850730896,31.21875,120.9280776977539
62,0.671875,,3.16001296043396,0.16739311814308167,0.511862576007843,0.016620222479104996,1.0313688516616821,0.9993622303009033,24.015625,115.79846954345703
63,0.640625,,3.8453125953674316,0.1812259703874588,0.5640975832939148,0.02294677495956421,1.1350408792495728,0.9997351765632629,29.234375,119.92664337158203
64,0.6015625,,3.3307292461395264,0.1592511683702469,0.5353003144264221,0.009022445417940617,1.1524300575256348,1.0,29.9140625,110.9164047241211
65,0.6328125,,3.7420551776885986,0.1812998354434967,0.5991364121437073,-0.00257716397754848,1.193619728088379,1.0,29.3515625,118.55879211425781
66,0.546875,,3.0634469985961914,0.17894694209098816,0.594720721244812,0.011526980437338352,0.8063193559646606,1.0,32.6328125,118.07646942138672
67,0.65625,,4.205703258514404,0.18122614920139313,0.5944052934646606,-0.0013177136424928904,1.2343924045562744,0.9997395873069763,29.703125,115.41927337646484
68,0.5625,,3.559260129928589,0.16188690066337585,0.5833397507667542,-0.005046095699071884,1.372684359550476,0.9997702240943909,33.953125,120.96208953857422
69,0.5859375,,3.5107178688049316,0.19093720614910126,0.6063295006752014,-0.02701285295188427,0.8011835217475891,0.999755859375,31.90625,128.964599609375
70,0.75,0.609375,5.443181991577148,0.18374067544937134,0.6182060241699219,0.02768544852733612,1.182909607887268,1.0,27.4375,121.80369567871094
71,0.3359375,,1.8444551229476929,0.17086628079414368,0.7013625502586365,0.02068973332643509,1.0488638877868652,0.9994283318519592,40.734375,125.45655822753906
72,0.8046875,,6.004432678222656,0.16663911938667297,0.5585760474205017,0.004120530094951391,1.2186897993087769,0.9996811151504517,24.4140625,120.53507995605469
73,0.703125,,4.251742839813232,0.1705975979566574,0.5717810988426208,0.08774384111166,1.425628900527954,0.9993990659713745,25.7734375,123.61779022216797
74,0.640625,,3.999974012374878,0.1664169877767563,0.5637384057044983,0.07470425218343735,0.9785183668136597,0.9997395873069763,29.9609375,117.21224212646484
75,0.484375,,2.416168451309204,0.16106456518173218,0.5789373517036438,0.039693400263786316,1.4394289255142212,0.9995471239089966,34.03125,122.22123718261719
76,0.40625,,2.363741874694824,0.22308316826820374,0.7163305878639221,-0.030088936910033226,1.179325819015503,0.9995993375778198,38.8828125,131.53004455566406
77,0.484375,,2.5668303966522217,0.20055212080478668,0.795571506023407,0.09402308613061905,1.242079496383667,0.9986607432365417,34.6484375,131.53057861328125
78,0.5703125,,3.3388943672180176,0.1678260713815689,0.7660084366798401,0.02368248626589775,0.9785098433494568,0.9995192289352417,32.15625,133.656494140625
79,0.5078125,,2.5023438930511475,0.20282557606697083,0.7533320188522339,0.011504828929901123,0.9273663759231567,0.9997632503509521,32.8125,132.7133026123047
80,0.4609375,0.6171875,2.5449059009552,0.19670699536800385,0.7291219234466553,0.013931011781096458,0.8728494048118591,0.9995719194412231,36.140625,136.8067169189453
81,0.7578125,,5.074999809265137,0.1938580721616745,0.5825663805007935,0.044877875596284866,0.8409348130226135,1.0,24.609375,129.17625427246094
82,0.5546875,,3.2504734992980957,0.1739218682050705,0.7105888724327087,0.04291880130767822,0.8405884504318237,1.0,32.9921875,134.30018615722656
83,0.5234375,,3.500781536102295,0.21708212792873383,0.7127163410186768,0.03361137956380844,1.202513575553894,0.9993665814399719,36.6953125,127.16744232177734
84,0.6796875,,4.5391950607299805,0.23240916430950165,0.6532564759254456,0.08882371336221695,1.1741890907287598,1.0,29.3125,122.92849731445312
85,0.7109375,,4.851863861083984,0.18514475226402283,0.5915687680244446,0.011826016008853912,1.1199601888656616,0.9989035129547119,28.078125,119.06414794921875
86,0.453125,,2.3762805461883545,0.3055593967437744,0.8132897019386292,0.00587609875947237,0.8756727576255798,0.9997829794883728,35.8828125,126.22373962402344
87,0.6171875,,3.256524085998535,0.2066144198179245,0.7862407565116882,0.02553354576230049,0.9368481636047363,0.999451756477356,28.4140625,120.62773895263672
88,0.4609375,,2.8104166984558105,0.24062669277191162,0.7753937840461731,0.03235721215605736,1.0607510805130005,1.0,37.4921875,126.11853790283203
89,0.7890625,,5.802665710449219,0.18879243731498718,0.6153103709220886,-0.014798291027545929,0.8861079812049866,0.9996936321258545,25.1640625,119.22855377197266
90,0.6875,0.6328125,4.555469036102295,0.23279158771038055,0.6753721833229065,0.01097089983522892,1.0539952516555786,0.9997305870056152,28.625,120.14358520507812
91,0.640625,,4.60354471206665,0.24760639667510986,0.6256414651870728,0.021575219929218292,1.111685037612915,1.0,33.328125,121.76445770263672
92,0.7734375,,5.040727138519287,0.23484112322330475,0.5772612690925598,0.04210386797785759,1.0222256183624268,0.999660313129425,22.8359375,116.21977233886719
93,0.5625,,3.13232421875,0.2010774314403534,0.6847101449966431,0.012028527446091175,0.5968306064605713,1.0,31.875,120.54833984375
94,0.515625,,2.9166667461395264,0.2450762391090393,0.7130550146102905,0.03466292843222618,1.052808165550232,1.0,34.1875,124.15919494628906
95,0.6484375,,4.098932266235352,0.24920210242271423,0.6129798293113708,-0.004701755475252867,1.107056736946106,0.9997395873069763,29.78125,119.81822967529297
96,0.84375,,6.173666000366211,0.21320080757141113,0.46894264221191406,0.0641731396317482,1.0767892599105835,0.9988567233085632,20.359375,114.17949676513672
97,0.578125,,3.2836804389953613,0.29089218378067017,0.6995400786399841,0.06669080257415771,0.8648306727409363,0.9995039701461792,31.4140625,118.29885864257812
98,0.515625,,2.723694086074829,0.27880361676216125,0.7713809609413147,0.021952839568257332,1.1732134819030762,0.9981343150138855,33.2578125,129.47854614257812
99,0.703125,,4.3248820304870605,0.2258550226688385,0.6067871451377869,0.027316059917211533,0.7694677710533142,1.0,26.1796875,121.57606506347656
100,0.5859375,0.6015625,3.213104724884033,0.24776022136211395,0.6868250966072083,0.01665027253329754,1.4025092124938965,0.9989919066429138,30.515625,128.6993408203125
101,0.53125,,2.7210817337036133,0.25685063004493713,0.7203378677368164,0.056687697768211365,0.9724833965301514,0.9992788434028625,32.15625,129.89688110351562
102,0.7734375,,4.97961950302124,0.23724745213985443,0.540991485118866,0.0023274202831089497,0.8786603212356567,1.0,22.546875,117.97588348388672
103,0.578125,,3.0840163230895996,0.24397844076156616,0.5670798420906067,0.008635991252958775,0.7898874878883362,1.0,30.5,127.41060638427734
104,0.4921875,,2.8840057849884033,0.226800337433815,0.7358982563018799,0.03216816484928131,1.0003823041915894,0.9989149570465088,35.6171875,142.86415100097656
105,0.859375,,6.484375,0.15373240411281586,0.47729653120040894,0.07459121942520142,1.0809069871902466,1.0,19.9765625,122.9156265258789
106,0.7421875,,5.114770412445068,0.20312334597110748,0.6585402488708496,0.062299944460392,1.0078963041305542,0.9979363083839417,26.40625,136.3832550048828
107,0.4609375,,2.2989954948425293,0.25983619689941406,0.8016172051429749,0.023143785074353218,1.3581465482711792,0.9988839030265808,35.0,147.97633361816406
108,0.5859375,,3.688352346420288,0.2350822389125824,0.6806990504264832,0.03245057165622711,1.044094443321228,0.9990530014038086,32.8046875,135.37216186523438
109,0.609375,,3.8500490188598633,0.17690108716487885,0.6502673029899597,0.018551988527178764,0.8670456409454346,0.99951171875,31.7421875,135.609375
110,0.546875,0.6328125,2.695833206176758,0.27323341369628906,0.6675451397895813,0.04473577067255974,1.333518624305725,0.9990079402923584,31.015625,134.2864532470703
111,0.5859375,,4.12845516204834,0.23493622243404388,0.5713366866111755,0.019641023129224777,1.145723581314087,0.999339759349823,35.265625,128.2623291015625
112,0.5703125,,2.8124477863311768,0.2824106216430664,0.7306699156761169,0.00962370727211237,1.0568523406982422,0.9994791746139526,29.8984375,130.84036254882812
113,0.5625,,3.316714286804199,0.2719150483608246,0.6391599774360657,0.03309907391667366,0.7684242129325867,0.9995265007019043,32.71875,127.86600494384766
114,0.59375,,3.790151357650757,0.2593298554420471,0.7361029386520386,0.10140407085418701,1.0536720752716064,0.9990530014038086,32.671875,134.46591186523438
115,0.59375,,3.101112127304077,0.27396342158317566,0.6683478355407715,0.04377470910549164,0.6930767297744751,0.9994703531265259,29.4375,125.92981719970703
116,0.53125,,3.0169808864593506,0.3185606002807617,0.7468840479850769,-0.011926742270588875,0.8686697483062744,0.9997702240943909,33.6015625,126.37408447265625
117,0.5390625,,3.325848340988159,0.26884767413139343,0.7902287244796753,0.015552051365375519,0.9219017624855042,0.9995535612106323,34.53125,134.7872772216797
118,0.6484375,,3.818366050720215,0.2762594223022461,0.6592697501182556,0.023904498666524887,1.0351895093917847,0.9983552694320679,28.421875,123.11897277832031
119,0.6875,,4.091980934143066,0.2920297384262085,0.7107943892478943,0.006815589498728514,0.9279264211654663,1.0,26.4453125,131.2532501220703
120,0.6015625,0.6953125,2.9796876907348633,0.23819208145141602,0.7790927290916443,0.015431994572281837,0.6805545687675476,0.999725878238678,28.40625,133.26699829101562
121,0.4296875,,2.436245918273926,0.29905965924263,0.8902833461761475,-0.02211638167500496,0.8316764831542969,0.9997944235801697,37.65625,141.35670471191406
122,0.5859375,,3.096670150756836,0.3057197630405426,0.8190698027610779,0.04417543113231659,1.1525180339813232,0.9984630942344666,30.015625,138.74411010742188
123,0.5234375,,3.1517410278320312,0.27445417642593384,0.8453059196472168,0.04043038561940193,1.1201881170272827,0.9995535612106323,34.8203125,138.0656280517578
124,0.5546875,,3.149038553237915,0.24096263945102692,0.7825546264648438,0.01607842557132244,0.8335899114608765,1.0,32.5,135.93701171875
125,0.515625,,2.9392662048339844,0.25760170817375183,0.7770133018493652,0.01664028875529766,0.8941858410835266,0.9995471239089966,34.3203125,135.5615997314453
126,0.4609375,,2.637183427810669,0.2737267315387726,0.7620261311531067,0.04612821340560913,0.9614989757537842,0.9993665814399719,36.5390625,134.5770721435547
127,0.5625,,2.6145052909851074,0.27737563848495483,0.8247689008712769,0.021846167743206024,0.7662197351455688,0.999218761920929,29.6484375,141.18540954589844
128,0.828125,,6.236311435699463,0.2806732654571533,0.6661984920501709,-0.018213247880339622,1.1082478761672974,0.9989809989929199,22.84375,135.09613037109375
129,0.7265625,,4.808313846588135,0.3479808270931244,0.7574877142906189,0.03884017840027809,0.9645395874977112,0.9994103908538818,26.3671875,133.81661987304688
130,0.7890625,0.640625,5.288125038146973,0.3358030319213867,0.7375303506851196,0.022303573787212372,0.9585866928100586,0.9993055462837219,22.3828125,130.6107635498047
131,0.6640625,,3.3363051414489746,0.27614325284957886,0.9585018754005432,0.03893408924341202,0.9080970287322998,0.9990808963775635,25.15625,141.12652587890625
132,0.6953125,,3.1386806964874268,0.31150782108306885,0.9637190699577332,0.047878194600343704,1.039446234703064,0.9979166388511658,22.1953125,143.48680114746094
133,0.65625,,4.08609676361084,0.31969332695007324,0.9083009362220764,0.1068636104464531,1.0301874876022339,0.9976165294647217,29.03125,143.57044982910156
134,0.6015625,,3.183156967163086,0.23675821721553802,0.8966057300567627,0.002790946513414383,0.9151841998100281,0.9989407062530518,29.2421875,147.199951171875
135,0.609375,,3.3288135528564453,0.3140557110309601,0.8885207176208496,0.028381193056702614,1.0637396574020386,0.9989407062530518,29.265625,138.828125
136,0.5390625,,2.879807710647583,0.32368046045303345,0.9140678644180298,0.012919183820486069,0.5490416884422302,1.0,32.3515625,140.19760131835938
137,0.7890625,,4.809451103210449,0.30321595072746277,0.702843964099884,0.028437258675694466,0.676744282245636,1.0,20.28125,126.1505355834961
138,0.5546875,,2.5997438430786133,0.3553065359592438,0.89895099401474,0.003777495352551341,1.0944217443466187,0.9984630942344666,30.078125,135.15444946289062
139,0.796875,,5.199854850769043,0.29742226004600525,0.720771074295044,0.03115309588611126,0.9589415192604065,1.0,21.1171875,133.69113159179688
140,0.59375,0.609375,3.4071576595306396,0.329907089471817,0.8191213607788086,0.020648080855607986,0.9581544995307922,0.9989919066429138,30.7890625,138.1953125
141,0.6484375,,4.16237211227417,0.2680315375328064,0.7906268835067749,0.015879809856414795,0.8458697199821472,0.9997438788414001,30.0859375,139.80020141601562
142,0.6953125,,4.192216873168945,0.3259386122226715,0.7662113904953003,0.03028731606900692,0.9062694907188416,1.0,26.203125,138.3245849609375
143,0.453125,,2.6312291622161865,0.29729726910591125,0.8511486649513245,0.023813437670469284,1.0666558742523193,0.99979168176651,37.0390625,145.89187622070312
144,0.7109375,,4.563078880310059,0.2996266484260559,0.7390584945678711,0.049469780176877975,0.896977961063385,1.0,26.578125,142.33883666992188
145,0.7265625,,5.028295516967773,0.3740890622138977,0.7028295397758484,0.023094726726412773,1.1806236505508423,0.9988636374473572,27.5,143.80255126953125
146,0.6796875,,4.23822546005249,0.25976696610450745,0.7768556475639343,0.043544694781303406,1.0842989683151245,0.9994419813156128,27.7734375,141.13644409179688
147,0.6953125,,5.10163688659668,0.32583901286125183,0.737372636795044,0.07627188414335251,1.170479655265808,0.9995039701461792,31.1015625,139.27529907226562
148,0.546875,,3.227588653564453,0.31642332673072815,0.798609733581543,0.006307510193437338,0.7515430450439453,0.9997667670249939,33.4609375,140.67303466796875
149,0.703125,,4.562471866607666,0.30676594376564026,0.8193323612213135,-0.029469965025782585,1.10525381565094,0.9997159242630005,27.3046875,138.61903381347656
150,0.7890625,0.6328125,5.298576354980469,0.22059373557567596,0.724433422088623,0.01998542807996273,0.894473135471344,0.9996528029441833,22.421875,129.3847198486328
